amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
407-5482214-3147519,407-5482214-3147519,2026-01-31T18:02:09+00:00,2026-02-02T07:34:44+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",white-grey-heel-socks-Set6,B0F9R772XH,Shipped,1,INR,325,,,,,,,,TALEGAON MIDC,MAHARASHTRA,410507,IN,,FALSE,,,,FALSE
408-7873524-2197101,408-7873524-2197101,2026-01-31T17:42:52+00:00,2026-02-02T07:35:47+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",M3-3KEB-G37X,B0F9R772XH,Shipped,1,INR,325,,,,,,,,GANGTOK,SIKKIM,737101,IN,,FALSE,,,,FALSE
403-6469396-6300336,403-6469396-6300336,2026-01-31T17:04:50+00:00,2026-02-05T07:03:26+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",M3-3KEB-G37X,B0F9R772XH,Shipped,1,INR,325,,40,,,,,,Town,MEGHALAYA,793101,IN,,FALSE,,,,FALSE
403-9229056-0076362,403-9229056-0076362,2026-01-31T16:45:26+00:00,2026-02-02T07:52:48+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",M3-3KEB-G37X,B0F9R772XH,Shipped,1,INR,325,,,,,,,,GANDHINAGAR,GUJARAT,382007,IN,,FALSE,,,,FALSE
402-0490709-5061950,402-0490709-5061950,2026-01-31T16:14:44+00:00,2026-02-02T07:35:48+00:00,Shipped,Amazon,Amazon.in,,,Expedited,Butcher Twine 12 Ply Cotton Kitchen Twine for Cooking - Cotton Thread for Craft - Cotton Rope for Hanging - Butchers Thread-Food Safe String,butcher/twine,B0CYR3RSFG,Shipped,2,INR,388,,,,,,,,KOZHIKODE,KERALA,673029,IN,,FALSE,,,,FALSE
407-0785753-0776359,407-0785753-0776359,2026-01-31T15:31:10+00:00,2026-02-02T07:34:42+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",M3-3KEB-G37X,B0F9R772XH,Shipped,1,INR,325,,40,,,,,,SRINAGR GARHWAL,UTTARAKHAND,246174,IN,,FALSE,,,,FALSE
403-8403872-9401939,403-8403872-9401939,2026-01-31T15:28:04+00:00,2026-02-02T07:34:51+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",white-grey-heel-socks-Set6,B0F9R772XH,Shipped,1,INR,325,,,,,,,,CHITTOOR,ANDHRA PRADESH,517102,IN,,FALSE,,,,FALSE
403-9637514-4086753,403-9637514-4086753,2026-01-31T15:12:25+00:00,2026-01-31T16:37:48+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"ZIBELL Men's Crew Socks, Pack of 6, Size 9-12, Ideal for Cricket, Running (6, White)",white-grey-heel-socks-Set6,B0F9R772XH,Cancelled,0,,,,,,,,,,CHITTOOR,ANDHRA PRADESH,517102,IN,,FALSE,,,,FALSE
171-7935115-3216369,171-7935115-3216369,2026-01-31T14:37:22+00:00,2026-02-02T11:27:10+00:00,Shipped,Amazon,Amazon.in,,,Expedited,Butcher Twine 12 Ply Cotton Kitchen Twine for Cooking - Cotton Thread for Craft - Cotton Rope for Hanging - Butchers Thread-Food Safe String,butcher/twine,B0CYR3RSFG,Shipped,1,INR,194,,40,,,,,40,BENGALURU,KARNATAKA,560029,IN,,FALSE,,,,FALSE
404-0751139-9701961,404-0751139-9701961,2026-01-31T14:35:37+00:00,2026-02-02T07:34:43+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"Embroidery Threads 25 Skeins Kits, Embroidery Floss Cross Stitch Threads Friendship Bracelets Thread Crafts Floss Rainbow Color with Embroidery Floss",embroidery-rangoli-25pc,B0F79YM8ZH,Shipped,1,INR,199,,,,,,,,MUMBAI,MAHARASHTRA,400059,IN,,FALSE,,,,FALSE
