"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"31 Dec 2025 8:05:31 pm UTC","26293454662","Order","406-4756220-9121122","Panties-Floral-Set3-XL","ZIBELL Women's Floral Print Cotton Panties, Full Coverage, Pack of 3 (in, Alpha, XL, Regular, 3, Floral Assorted)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Bengaluru","KARNATAKA","562149","318.10","38.10","0","0","17.80","0","0","-1.78","-0.37","0","-114.34","-12.98","0","244.53"
"31 Dec 2025 8:33:32 pm UTC","26293454662","Order","402-1691718-5683568","WHITE-25MM-10M","ZIBELL Elastic Bands for Tailoring, Sewing Elastic for Pants and Clothes, High Elasticity Knit Spool, DIY Projects (White, 1 Inch, 10 Meters)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Guwahati","ASSAM","781036","216.19","38.10","0","-38.10","10.81","0","0","-1.08","-0.22","0","-74.34","-7.08","0","144.28"
"31 Dec 2025 8:50:56 pm UTC","26293454662","Order","408-4251591-0431513","embroidery-rangoli-50pc","Embroidery Threads 50 Skeins Kits, Embroidery Floss Cross Stitch Threads Friendship Bracelets Thread Crafts Floss Rainbow Color with Embroidery Floss","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Mohali","PUNJAB","140308","275.24","0","0","0","13.76","0","0","-1.38","-0.28","0","-74.34","-7.08","0","205.92"
"31 Dec 2025 9:33:11 pm UTC","26293454662","Shipping Services","403-4208615-4373132","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-97.94","0","-97.94"
"31 Dec 2025 10:22:39 pm UTC","26293454662","Order","404-8518059-7295549","white-grey-heel-socks-Set6","Men's White Crew Socks, White with Grey Heel, Pack of 6, Size 9-12, Ideal for Cricket, Running","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","VISAKHAPATNAM","ANDHRA PRADESH","530007","268.57","38.10","0","-38.10","13.43","0","0","-1.34","-0.28","0","-97.94","-7.08","0","175.36"
"31 Dec 2025 10:58:32 pm UTC","26293454662","Order","407-1788568-2828338","butcher/twine","Butcher Twine 12 Ply Cotton Kitchen Twine for Cooking - Cotton Thread for Craft - Cotton Rope for Hanging - Butchers Thread-Food Safe String","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Mumbai","MAHARASHTRA","400061","189.52","0","0","0","9.48","0","0","-0.95","-0.20","0","-74.34","-7.08","0","116.43"
"31 Dec 2025 11:10:48 pm UTC","26293454662","Order","402-2824293-8520328","butcher/twine","Butcher Twine 12 Ply Cotton Kitchen Twine for Cooking - Cotton Thread for Craft - Cotton Rope for Hanging - Butchers Thread-Food Safe String","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","LUDHIANA","PUNJAB","141001","189.52","0","0","0","9.48","0","0","-0.95","-0.19","0","-74.34","-7.08","0","116.44"
"31 Dec 2025 11:15:25 pm UTC","26293454662","Order","403-7618182-2807503","health-socks-pack5","ZIBELL Crew Socks for Men - Health Socks - Calf Length Socks -Soft, Breathable, Non-Binding, Moisture Control, Boosts Circulation, Ideal For Neuropath","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","MUMBAI","MAHARASHTRA","400018","602.86","0","0","0","30.14","0","0","-3.01","-0.61","0","-97.94","-40.12","0","491.32"
"31 Dec 2025 11:19:43 pm UTC","26293454662","Transfer","","","To account ending with: 075","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-7,367.63","-7,367.63"
"31 Dec 2025 11:44:06 pm UTC","26293454662","Order","407-9087634-8929108","white-grey-heel-socks-Set6","Men's White Crew Socks, White with Grey Heel, Pack of 6, Size 9-12, Ideal for Cricket, Running","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","JAIPUR","RAJASTHAN","302019","268.57","0","0","0","13.43","0","0","-1.34","-0.28","0","-97.94","-7.08","0","175.36"
