sku,asin,title,current_price,unit_cost
elastic-band-1inch-black,B0DV6HRNST,"ZIBELL Elastic Bands for Tailoring, Sewing Elastic for Pants and Clothes, High Elasticity Knit Spool, DIY Projects (Black, 1 Inch, 10 Meters)",227,90.80000000000001
white-grey-heel-socks-Set6,B0F9R772XH,"Men's White Crew Socks, White with Grey Heel, Pack of 6, Size 9-12, Ideal for Cricket, Running",282,112.80000000000001
beanie-hat-P3-red,B0FSSN9XWY,"Winter Woolen Beanie Cap for Men, Women, Boys, Girls, Stylish Soft Thermal Wear Head Cap (in, Alpha, Free Size, Red)",283,113.2
SOCKS-GREY-BLACK-PACK-6,B0GC5Z3Q59,"ZIBELL 6 Pack Black Cotton Mid-Calf Socks with Gray Heel & Toe - Everyday Comfort",325,130
elastic-band-3/4inch-white,B0DKG5Y86X,"ZIBELL Elastic Bands for Tailoring, Sewing Elastic for Pants and Clothes, High Elasticity Knit Spool, DIY Projects (White, 0.75 Inch, 10 Meters)",227,90.80000000000001
organica/combo/2,B0CXMJ142T,"ZIBELL Organic Cotton Eyebrow Threading Thread Tool for Women - 2 Spools x 300 Meters Thread for Eyebrows Threading - Upperlips Shaping, Green",233,93.2
WHITE-25MM-10M,B0D5HKBD4K,"ZIBELL Elastic Bands for Tailoring, Sewing Elastic for Pants and Clothes, High Elasticity Knit Spool, DIY Projects (White, 1 Inch, 10 Meters)",227,90.80000000000001
embr-thread-pack-50,B0D4MMF6S6,"ZIBELL Embroidery Floss Rainbow Color 50 Skeins Per Pack Cross Stitch Threads Friendship Bracelets String Embroidery Thread Cotton Floss Bracelet Yarn",368,147.20000000000002
butcher/twine,B0CYR3RSFG,"Butcher Twine 12 Ply Cotton Kitchen Twine for Cooking - Cotton Thread for Craft - Cotton Rope for Hanging - Butchers Thread-Food Safe String",199,79.60000000000001
pompom-hat-white-grey,B0FSSK6CC4,"ZIBELL Stylish Winter Woolen Cap for Women, Girls, Thermal Head Wear (in, Alpha, Free Size, Pattern 5)",349,139.6
beanie-hat-P2-beige,B0FSSDDRFP,"Winter Beanie Cap for Men & Women - Unisex Adults, One Size, Slouchy, Breathable, Lightweight, Warm, Windproof,Acrylic (in, Alpha, Free Size, Beige)",283,113.2
winter-neckset-glove-set-Black,B0G2B4P1RY,"ZIBELL 3-in-1 Winter Hat, Scarf and Gloves Set, Unisex Dual-Layered Woolen Beanie Cap with Fleece Lining, Classic Black, for Cold Weather Protection",284,113.60000000000001
vanity/box/global/Listing,B0CY9D4K9W,"Zibell Organic Cotton Eyebrow Threading Tool - 10 Spools x 300 Meters - Thread for Eyebrows, Upper Lips, Forehead, Chin Hair Removal - Salon, Spa, Hom",356,142.4
football/em/pink,B0CQCNVV5F,"ZIBELL Boy Girl Winter Earmuffs Outdoor Wear Soft Faux Fur Plush Ear Warmer Football Design Windproof Woolen Warm Earmuff | Soccer Furry Pattern (Free",199,79.60000000000001
football/em/red,B0CQCPFWQP,"ZIBELL Boy Girl Winter Earmuffs Outdoor Wear Soft Faux Fur Plush Ear Warmer Football Design Windproof Woolen Warm Earmuff | Soccer Furry Pattern (Free",199,79.60000000000001
butcher/twine/1,B0CYHLP8V4,"Butchers Twine 12 Ply Cotton Kitchen Twine for Roasting, Bakers, Cooking - Food Safe String|Meat, Sausage, Poultry Trussing - 2MM Thread - 80m",199,79.60000000000001
Panties-Floral-Set3-M,B0F9LT3K9J,"ZIBELL Women's Floral Print Cotton Panties, Full Coverage, Pack of 3 (in, Alpha, M, Regular, 3, Floral Assorted)",334,133.6
pompom-hat-white-black,B0FSSKY5VX,"ZIBELL Stylish Winter Woolen Cap for Women, Girls, Thermal Head Wear (in, Alpha, Free Size, Pattern 1)",349,139.6
embroidery-rangoli-25pc,B0F79YM8ZH,"Embroidery Threads 25 Skeins Kits, Embroidery Floss Cross Stitch Threads Friendship Bracelets Thread Crafts Floss Rainbow Color with Embroidery Floss",199,79.60000000000001
